band.name,band.genre,band.numberOfParticipants,band.singlesCount,band.description,band.albumsCount,coord.x,coord.y,album.name,album.sales,front.name,front.eyeColor,front.hairColor,front.country,front.weight,front.birthday,loc.x,loc.y,loc.name
UniqueBand_1,POST_PUNK,10,10,Unique description for band 1,7,10.1,155,UniqueAlbum_1,3158,UniqueFront_1,WHITE,ORANGE,FRANCE,86,1970-09-01,647,20.1,UniqueLoc_1
UniqueBand_2,ROCK,2,11,Unique description for band 2,4,10.2,161,UniqueAlbum_2,7162,UniqueFront_2,WHITE,ORANGE,UNITED_KINGDOM,83,1995-05-23,352,20.2,UniqueLoc_2
UniqueBand_3,PSYCHEDELIC_CLOUD_RAP,4,6,Unique description for band 3,1,10.3,363,UniqueAlbum_3,2048,UniqueFront_3,ORANGE,WHITE,SOUTH_KOREA,61,1973-01-12,309,20.3,UniqueLoc_3
UniqueBand_4,POP,6,15,Unique description for band 4,15,10.4,445,UniqueAlbum_4,6332,UniqueFront_4,ORANGE,WHITE,SOUTH_KOREA,66,1982-07-06,684,20.4,UniqueLoc_4
UniqueBand_5,PSYCHEDELIC_CLOUD_RAP,5,6,Unique description for band 5,4,10.5,334,UniqueAlbum_5,5310,UniqueFront_5,WHITE,WHITE,SOUTH_KOREA,83,1977-04-28,216,20.5,UniqueLoc_5
UniqueBand_6,BLUES,6,14,Unique description for band 6,11,10.6,343,UniqueAlbum_6,9980,UniqueFront_6,ORANGE,ORANGE,NORTH_KOREA,67,1994-02-16,416,20.6,UniqueLoc_6
UniqueBand_7,PSYCHEDELIC_CLOUD_RAP,8,13,Unique description for band 7,8,10.7,180,UniqueAlbum_7,4115,UniqueFront_7,WHITE,WHITE,UNITED_KINGDOM,69,1993-01-19,785,20.7,UniqueLoc_7
UniqueBand_8,POST_PUNK,3,13,Unique description for band 8,12,10.8,418,UniqueAlbum_8,3352,UniqueFront_8,GREEN,GREEN,FRANCE,84,1985-10-23,608,20.8,UniqueLoc_8
UniqueBand_9,ROCK,5,6,Unique description for band 9,13,10.9,431,UniqueAlbum_9,7731,UniqueFront_9,GREEN,GREEN,FRANCE,88,1985-10-17,884,20.9,UniqueLoc_9
UniqueBand_10,POP,3,3,Unique description for band 10,11,11.0,350,UniqueAlbum_10,5422,UniqueFront_10,GREEN,ORANGE,FRANCE,86,1993-09-12,752,21.0,UniqueLoc_10
UniqueBand_11,POST_PUNK,3,16,Unique description for band 11,1,11.1,112,UniqueAlbum_11,9192,UniqueFront_11,GREEN,WHITE,FRANCE,72,1979-01-29,998,21.1,UniqueLoc_11
UniqueBand_12,PSYCHEDELIC_CLOUD_RAP,4,18,Unique description for band 12,13,11.2,314,UniqueAlbum_12,3635,UniqueFront_12,ORANGE,GREEN,SOUTH_KOREA,82,1995-12-05,833,21.2,UniqueLoc_12
UniqueBand_13,ROCK,6,7,Unique description for band 13,12,11.3,347,UniqueAlbum_13,3364,UniqueFront_13,WHITE,GREEN,UNITED_KINGDOM,79,1974-12-12,664,21.3,UniqueLoc_13
UniqueBand_14,ROCK,5,10,Unique description for band 14,5,11.4,296,UniqueAlbum_14,9694,UniqueFront_14,WHITE,ORANGE,FRANCE,62,1982-07-12,331,21.4,UniqueLoc_14
UniqueBand_15,POST_PUNK,10,20,Unique description for band 15,13,11.5,332,UniqueAlbum_15,7566,UniqueFront_15,GREEN,WHITE,NORTH_KOREA,88,1972-07-11,168,21.5,UniqueLoc_15
UniqueBand_16,BLUES,2,13,Unique description for band 16,3,11.6,362,UniqueAlbum_16,9206,UniqueFront_16,GREEN,GREEN,FRANCE,76,1991-07-19,964,21.6,UniqueLoc_16
UniqueBand_17,PSYCHEDELIC_CLOUD_RAP,3,8,Unique description for band 17,6,11.7,260,UniqueAlbum_17,8820,UniqueFront_17,WHITE,WHITE,SOUTH_KOREA,81,1985-06-09,876,21.7,UniqueLoc_17
UniqueBand_18,BLUES,3,6,Unique description for band 18,1,11.8,140,UniqueAlbum_18,2823,UniqueFront_18,WHITE,GREEN,FRANCE,63,1971-09-03,313,21.8,UniqueLoc_18
UniqueBand_19,POST_PUNK,6,16,Unique description for band 19,13,11.9,442,UniqueAlbum_19,2344,UniqueFront_19,ORANGE,WHITE,SOUTH_KOREA,89,1980-10-16,521,21.9,UniqueLoc_19
UniqueBand_20,PSYCHEDELIC_CLOUD_RAP,4,17,Unique description for band 20,14,12.0,396,UniqueAlbum_20,7097,UniqueFront_20,WHITE,GREEN,FRANCE,76,1996-02-13,466,22.0,UniqueLoc_20
UniqueBand_21,POP,3,18,Unique description for band 21,4,12.1,438,UniqueAlbum_21,1531,UniqueFront_21,GREEN,GREEN,SOUTH_KOREA,69,1978-10-14,984,22.1,UniqueLoc_21
UniqueBand_22,POP,3,7,Unique description for band 22,14,12.2,251,UniqueAlbum_22,4422,UniqueFront_22,ORANGE,WHITE,UNITED_KINGDOM,86,1996-01-08,115,22.2,UniqueLoc_22
UniqueBand_23,POST_PUNK,7,2,Unique description for band 23,5,12.3,266,UniqueAlbum_23,6160,UniqueFront_23,ORANGE,GREEN,FRANCE,72,1978-03-29,543,22.3,UniqueLoc_23
UniqueBand_24,BLUES,3,11,Unique description for band 24,10,12.4,401,UniqueAlbum_24,5917,UniqueFront_24,GREEN,ORANGE,SOUTH_KOREA,63,1985-12-18,785,22.4,UniqueLoc_24
UniqueBand_25,BLUES,9,7,Unique description for band 25,14,12.5,196,UniqueAlbum_25,2613,UniqueFront_25,GREEN,WHITE,SOUTH_KOREA,68,1988-08-25,796,22.5,UniqueLoc_25
UniqueBand_26,PSYCHEDELIC_CLOUD_RAP,8,9,Unique description for band 26,14,12.6,338,UniqueAlbum_26,7574,UniqueFront_26,ORANGE,GREEN,SOUTH_KOREA,66,1972-03-13,618,22.6,UniqueLoc_26
UniqueBand_27,ROCK,9,7,Unique description for band 27,2,12.7,176,UniqueAlbum_27,9164,UniqueFront_27,GREEN,ORANGE,NORTH_KOREA,67,1984-06-04,281,22.7,UniqueLoc_27
UniqueBand_28,PSYCHEDELIC_CLOUD_RAP,7,17,Unique description for band 28,13,12.8,248,UniqueAlbum_28,1868,UniqueFront_28,GREEN,WHITE,FRANCE,72,1973-09-16,631,22.8,UniqueLoc_28
UniqueBand_29,BLUES,3,5,Unique description for band 29,1,12.9,228,UniqueAlbum_29,3921,UniqueFront_29,ORANGE,GREEN,UNITED_KINGDOM,89,1991-08-26,803,22.9,UniqueLoc_29
UniqueBand_30,PSYCHEDELIC_CLOUD_RAP,7,18,Unique description for band 30,9,13.0,301,UniqueAlbum_30,2688,UniqueFront_30,ORANGE,WHITE,FRANCE,84,1981-09-11,434,23.0,UniqueLoc_30
UniqueBand_31,PSYCHEDELIC_CLOUD_RAP,5,10,Unique description for band 31,1,13.1,334,UniqueAlbum_31,6081,UniqueFront_31,GREEN,ORANGE,SOUTH_KOREA,86,1997-01-14,249,23.1,UniqueLoc_31
UniqueBand_32,POP,7,12,Unique description for band 32,3,13.2,416,UniqueAlbum_32,2470,UniqueFront_32,GREEN,GREEN,FRANCE,68,1970-06-27,178,23.2,UniqueLoc_32
UniqueBand_33,ROCK,4,6,Unique description for band 33,14,13.3,422,UniqueAlbum_33,6460,UniqueFront_33,GREEN,WHITE,SOUTH_KOREA,78,1988-05-08,439,23.3,UniqueLoc_33
UniqueBand_34,PSYCHEDELIC_CLOUD_RAP,6,4,Unique description for band 34,14,13.4,221,UniqueAlbum_34,5758,UniqueFront_34,GREEN,WHITE,UNITED_KINGDOM,84,1990-02-15,770,23.4,UniqueLoc_34
UniqueBand_35,POP,2,18,Unique description for band 35,10,13.5,168,UniqueAlbum_35,9133,UniqueFront_35,ORANGE,GREEN,SOUTH_KOREA,84,1984-08-06,357,23.5,UniqueLoc_35
UniqueBand_36,ROCK,6,7,Unique description for band 36,10,13.6,443,UniqueAlbum_36,9583,UniqueFront_36,WHITE,WHITE,NORTH_KOREA,67,1973-10-20,651,23.6,UniqueLoc_36
UniqueBand_37,ROCK,2,5,Unique description for band 37,7,13.7,299,UniqueAlbum_37,2942,UniqueFront_37,WHITE,WHITE,UNITED_KINGDOM,74,1990-08-27,743,23.7,UniqueLoc_37
UniqueBand_38,ROCK,8,7,Unique description for band 38,12,13.8,363,UniqueAlbum_38,1171,UniqueFront_38,GREEN,ORANGE,NORTH_KOREA,65,1976-04-21,544,23.8,UniqueLoc_38
