band.name,band.genre,band.numberOfParticipants,band.singlesCount,band.description,band.albumsCount,coord.x,coord.y,album.name,album.sales,front.name,front.eyeColor,front.hairColor,front.country,front.weight,front.birthday,loc.x,loc.y,loc.name
Band_1,BLUES,2,2,Description for band 1,2,10.01,100.1,Album_1,1100,Frontman_1,ORANGE,WHITE,FRANCE,61,1981-02-02,101,20.6,Location_1
Band_2,POP,3,3,Description for band 2,3,10.02,100.2,Album_2,1200,Frontman_2,WHITE,GREEN,SOUTH_KOREA,62,1982-03-03,102,20.7,Location_2
Band_3,POST_PUNK,4,4,Description for band 3,4,10.03,100.3,Album_3,1300,Frontman_3,GREEN,ORANGE,NORTH_KOREA,63,1983-04-04,103,20.8,Location_3
Band_4,PSYCHEDELIC_CLOUD_RAP,5,5,Description for band 4,5,10.04,100.4,Album_4,1400,Frontman_4,ORANGE,WHITE,UNITED_KINGDOM,64,1984-05-05,104,20.9,Location_4
Band_5,ROCK,6,6,Description for band 5,6,10.05,100.5,Album_5,1500,Frontman_5,WHITE,GREEN,FRANCE,65,1985-06-06,105,21.0,Location_5
Band_6,BLUES,7,7,Description for band 6,7,10.06,100.6,Album_6,1600,Frontman_6,GREEN,ORANGE,SOUTH_KOREA,66,1986-07-07,106,21.1,Location_6
Band_7,POP,8,8,Description for band 7,8,10.07,100.7,Album_7,1700,Frontman_7,ORANGE,WHITE,NORTH_KOREA,67,1987-08-08,107,21.2,Location_7
Band_8,POST_PUNK,9,9,Description for band 8,9,10.08,100.8,Album_8,1800,Frontman_8,WHITE,GREEN,UNITED_KINGDOM,68,1988-01-09,108,21.3,Location_8
Band_9,PSYCHEDELIC_CLOUD_RAP,10,10,Description for band 9,10,10.09,100.9,Album_9,1900,Frontman_9,GREEN,ORANGE,FRANCE,69,1989-02-10,109,21.4,Location_9
Band_10,ROCK,11,11,Description for band 10,11,10.1,101.0,Album_10,2000,Frontman_10,ORANGE,WHITE,SOUTH_KOREA,70,1980-03-11,110,21.5,Location_10
Band_11,BLUES,12,12,Description for band 11,12,10.11,101.1,Album_11,2100,Frontman_11,WHITE,GREEN,NORTH_KOREA,71,1981-04-12,111,21.6,Location_11
Band_12,POP,13,13,Description for band 12,13,10.12,101.2,Album_12,2200,Frontman_12,GREEN,ORANGE,UNITED_KINGDOM,72,1982-05-13,112,21.7,Location_12
Band_13,POST_PUNK,14,14,Description for band 13,14,10.13,101.3,Album_13,2300,Frontman_13,ORANGE,WHITE,FRANCE,73,1983-06-14,113,21.8,Location_13
Band_14,PSYCHEDELIC_CLOUD_RAP,15,15,Description for band 14,15,10.14,101.4,Album_14,2400,Frontman_14,WHITE,GREEN,SOUTH_KOREA,74,1984-07-15,114,21.9,Location_14
Band_15,ROCK,16,16,Description for band 15,16,10.15,101.5,Album_15,2500,Frontman_15,GREEN,ORANGE,NORTH_KOREA,75,1985-08-16,115,22.0,Location_15
Band_16,BLUES,17,17,Description for band 16,17,10.16,101.6,Album_16,2600,Frontman_16,ORANGE,WHITE,UNITED_KINGDOM,76,1986-01-17,116,22.1,Location_16
Band_17,POP,18,18,Description for band 17,18,10.17,101.7,Album_17,2700,Frontman_17,WHITE,GREEN,FRANCE,77,1987-02-18,117,22.2,Location_17
Band_18,POST_PUNK,19,19,Description for band 18,19,10.18,101.8,Album_18,2800,Frontman_18,GREEN,ORANGE,SOUTH_KOREA,78,1988-03-19,118,22.3,Location_18
Band_19,PSYCHEDELIC_CLOUD_RAP,20,20,Description for band 19,20,10.19,101.9,Album_19,2900,Frontman_19,ORANGE,WHITE,NORTH_KOREA,79,1989-04-20,119,22.4,Location_19
Band_20,ROCK,21,21,Description for band 20,1,10.2,102.0,Album_20,3000,Frontman_20,WHITE,GREEN,UNITED_KINGDOM,80,1980-05-21,120,22.5,Location_20
Band_21,BLUES,22,22,Description for band 21,2,10.21,102.1,Album_21,3100,Frontman_21,GREEN,ORANGE,FRANCE,81,1981-06-22,121,22.6,Location_21
Band_22,POP,23,23,Description for band 22,3,10.22,102.2,Album_22,3200,Frontman_22,ORANGE,WHITE,SOUTH_KOREA,82,1982-07-23,122,22.7,Location_22
Band_23,POST_PUNK,24,24,Description for band 23,4,10.23,102.3,Album_23,3300,Frontman_23,WHITE,GREEN,NORTH_KOREA,83,1983-08-24,123,22.8,Location_23
Band_24,PSYCHEDELIC_CLOUD_RAP,25,25,Description for band 24,5,10.24,102.4,Album_24,3400,Frontman_24,GREEN,ORANGE,UNITED_KINGDOM,84,1984-01-25,124,22.9,Location_24
Band_25,ROCK,26,26,Description for band 25,6,10.25,102.5,Album_25,3500,Frontman_25,ORANGE,WHITE,FRANCE,85,1985-02-26,125,23.0,Location_25
Band_26,BLUES,27,27,Description for band 26,7,10.26,102.6,Album_26,3600,Frontman_26,WHITE,GREEN,SOUTH_KOREA,86,1986-03-27,126,23.1,Location_26
Band_27,POP,28,28,Description for band 27,8,10.27,102.7,Album_27,3700,Frontman_27,GREEN,ORANGE,NORTH_KOREA,87,1987-04-28,127,23.2,Location_27
Band_28,POST_PUNK,29,29,Description for band 28,9,10.28,102.8,Album_28,3800,Frontman_28,ORANGE,WHITE,UNITED_KINGDOM,88,1988-05-01,128,23.3,Location_28
Band_29,PSYCHEDELIC_CLOUD_RAP,30,30,Description for band 29,10,10.29,102.9,Album_29,3900,Frontman_29,WHITE,GREEN,FRANCE,89,1989-06-02,129,23.4,Location_29
Band_30,ROCK,31,31,Description for band 30,11,10.3,103.0,Album_30,4000,Frontman_30,GREEN,ORANGE,SOUTH_KOREA,90,1980-07-03,130,23.5,Location_30
Band_31,BLUES,32,32,Description for band 31,12,10.31,103.1,Album_31,4100,Frontman_31,ORANGE,WHITE,NORTH_KOREA,91,1981-08-04,131,23.6,Location_31
Band_32,POP,33,33,Description for band 32,13,10.32,103.2,Album_32,4200,Frontman_32,WHITE,GREEN,UNITED_KINGDOM,92,1982-01-05,132,23.7,Location_32
Band_33,POST_PUNK,34,34,Description for band 33,14,10.33,103.3,Album_33,4300,Frontman_33,GREEN,ORANGE,FRANCE,93,1983-02-06,133,23.8,Location_33
Band_34,PSYCHEDELIC_CLOUD_RAP,35,35,Description for band 34,15,10.34,103.4,Album_34,4400,Frontman_34,ORANGE,WHITE,SOUTH_KOREA,94,1984-03-07,134,23.9,Location_34
Band_35,ROCK,36,36,Description for band 35,16,10.35,103.5,Album_35,4500,Frontman_35,WHITE,GREEN,NORTH_KOREA,95,1985-04-08,135,24.0,Location_35
Band_36,BLUES,37,37,Description for band 36,17,10.36,103.6,Album_36,4600,Frontman_36,GREEN,ORANGE,UNITED_KINGDOM,96,1986-05-09,136,24.1,Location_36
Band_37,POP,38,38,Description for band 37,18,10.37,103.7,Album_37,4700,Frontman_37,ORANGE,WHITE,FRANCE,97,1987-06-10,137,24.2,Location_37
Band_38,POST_PUNK,39,39,Description for band 38,19,10.38,103.8,Album_38,4800,Frontman_38,WHITE,GREEN,SOUTH_KOREA,98,1988-07-11,138,24.3,Location_38
Band_39,PSYCHEDELIC_CLOUD_RAP,40,40,Description for band 39,20,10.39,103.9,Album_39,4900,Frontman_39,GREEN,ORANGE,NORTH_KOREA,99,1989-08-12,139,24.4,Location_39
