band.name,band.genre,band.numberOfParticipants,band.singlesCount,band.description,band.albumsCount,coord.x,coord.y,album.name,album.sales,front.name,front.eyeColor,front.hairColor,front.country,front.weight,front.birthday,loc.x,loc.y,loc.name
Band_1,BLUES,2,2,Desc 1,2,10.001,100.5,Album_1,1100,Front_1,ORANGE,WHITE,FRANCE,61,1981-02-02,101,20.6,Loc_1
Band_2,POP,3,3,Desc 2,3,10.002,101.0,Album_2,1200,Front_2,WHITE,GREEN,SOUTH_KOREA,62,1982-03-03,102,20.7,Loc_2
Band_3,POST_PUNK,4,4,Desc 3,4,10.003,101.5,Album_3,1300,Front_3,GREEN,ORANGE,NORTH_KOREA,63,1983-04-04,103,20.8,Loc_3
Band_4,PSYCHEDELIC_CLOUD_RAP,5,5,Desc 4,5,10.004,102.0,Album_4,1400,Front_4,ORANGE,WHITE,UNITED_KINGDOM,64,1984-05-05,104,20.9,Loc_4
Band_5,ROCK,6,6,Desc 5,6,10.005,102.5,Album_5,1500,Front_5,WHITE,GREEN,FRANCE,65,1985-06-06,105,21.0,Loc_5
Band_6,BLUES,7,7,Desc 6,7,10.006,103.0,Album_6,1600,Front_6,GREEN,ORANGE,SOUTH_KOREA,66,1986-07-07,106,21.1,Loc_6
Band_7,POP,8,8,Desc 7,8,10.007,103.5,Album_7,1700,Front_7,ORANGE,WHITE,NORTH_KOREA,67,1987-08-08,107,21.2,Loc_7
Band_8,POST_PUNK,9,9,Desc 8,9,10.008,104.0,Album_8,1800,Front_8,WHITE,GREEN,UNITED_KINGDOM,68,1988-01-09,108,21.3,Loc_8
Band_9,PSYCHEDELIC_CLOUD_RAP,10,10,Desc 9,10,10.009,104.5,Album_9,1900,Front_9,GREEN,ORANGE,FRANCE,69,1989-02-10,109,21.4,Loc_9
Band_10,ROCK,11,11,Desc 10,11,10.01,105.0,Album_10,2000,Front_10,ORANGE,WHITE,SOUTH_KOREA,70,1980-03-11,110,21.5,Loc_10
Band_11,BLUES,12,12,Desc 11,12,10.011,105.5,Album_11,2100,Front_11,WHITE,GREEN,NORTH_KOREA,71,1981-04-12,111,21.6,Loc_11
Band_12,POP,13,13,Desc 12,13,10.012,106.0,Album_12,2200,Front_12,GREEN,ORANGE,UNITED_KINGDOM,72,1982-05-13,112,21.7,Loc_12
Band_13,POST_PUNK,14,14,Desc 13,14,10.013,106.5,Album_13,2300,Front_13,ORANGE,WHITE,FRANCE,73,1983-06-14,113,21.8,Loc_13
Band_14,PSYCHEDELIC_CLOUD_RAP,15,15,Desc 14,15,10.014,107.0,Album_14,2400,Front_14,WHITE,GREEN,SOUTH_KOREA,74,1984-07-15,114,21.9,Loc_14
Band_15,ROCK,16,16,Desc 15,16,10.015,107.5,Album_15,2500,Front_15,GREEN,ORANGE,NORTH_KOREA,75,1985-08-16,115,22.0,Loc_15
Band_16,BLUES,17,17,Desc 16,17,10.016,108.0,Album_16,2600,Front_16,ORANGE,WHITE,UNITED_KINGDOM,76,1986-01-17,116,22.1,Loc_16
Band_17,POP,18,18,Desc 17,18,10.017,108.5,Album_17,2700,Front_17,WHITE,GREEN,FRANCE,77,1987-02-18,117,22.2,Loc_17
Band_18,POST_PUNK,19,19,Desc 18,19,10.018,109.0,Album_18,2800,Front_18,GREEN,ORANGE,SOUTH_KOREA,78,1988-03-19,118,22.3,Loc_18
Band_19,PSYCHEDELIC_CLOUD_RAP,20,20,Desc 19,20,10.019,109.5,Album_19,2900,Front_19,ORANGE,WHITE,NORTH_KOREA,79,1989-04-20,119,22.4,Loc_19
Band_20,ROCK,21,21,Desc 20,1,10.02,110.0,Album_20,3000,Front_20,WHITE,GREEN,UNITED_KINGDOM,80,1980-05-21,120,22.5,Loc_20
Band_21,BLUES,22,22,Desc 21,2,10.021,110.5,Album_21,3100,Front_21,GREEN,ORANGE,FRANCE,81,1981-06-22,121,22.6,Loc_21
Band_22,POP,23,23,Desc 22,3,10.022,111.0,Album_22,3200,Front_22,ORANGE,WHITE,SOUTH_KOREA,82,1982-07-23,122,22.7,Loc_22
Band_23,POST_PUNK,24,24,Desc 23,4,10.023,111.5,Album_23,3300,Front_23,WHITE,GREEN,NORTH_KOREA,83,1983-08-24,123,22.8,Loc_23
Band_24,PSYCHEDELIC_CLOUD_RAP,25,25,Desc 24,5,10.024,112.0,Album_24,3400,Front_24,GREEN,ORANGE,UNITED_KINGDOM,84,1984-01-25,124,22.9,Loc_24
Band_25,ROCK,26,26,Desc 25,6,10.025,112.5,Album_25,3500,Front_25,ORANGE,WHITE,FRANCE,85,1985-02-26,125,23.0,Loc_25
Band_26,BLUES,27,27,Desc 26,7,10.026,113.0,Album_26,3600,Front_26,WHITE,GREEN,SOUTH_KOREA,86,1986-03-27,126,23.1,Loc_26
Band_27,POP,28,28,Desc 27,8,10.027,113.5,Album_27,3700,Front_27,GREEN,ORANGE,NORTH_KOREA,87,1987-04-28,127,23.2,Loc_27
Band_28,POST_PUNK,29,29,Desc 28,9,10.028,114.0,Album_28,3800,Front_28,ORANGE,WHITE,UNITED_KINGDOM,88,1988-05-01,128,23.3,Loc_28
Band_29,PSYCHEDELIC_CLOUD_RAP,30,30,Desc 29,10,10.029,114.5,Album_29,3900,Front_29,WHITE,GREEN,FRANCE,89,1989-06-02,129,23.4,Loc_29
Band_30,ROCK,31,31,Desc 30,11,10.03,115.0,Album_30,4000,Front_30,GREEN,ORANGE,SOUTH_KOREA,90,1980-07-03,130,23.5,Loc_30
Band_31,BLUES,32,32,Desc 31,12,10.031,115.5,Album_31,4100,Front_31,ORANGE,WHITE,NORTH_KOREA,91,1981-08-04,131,23.6,Loc_31
Band_32,POP,33,33,Desc 32,13,10.032,116.0,Album_32,4200,Front_32,WHITE,GREEN,UNITED_KINGDOM,92,1982-01-05,132,23.7,Loc_32
Band_33,POST_PUNK,34,34,Desc 33,14,10.033,116.5,Album_33,4300,Front_33,GREEN,ORANGE,FRANCE,93,1983-02-06,133,23.8,Loc_33
Band_34,PSYCHEDELIC_CLOUD_RAP,35,35,Desc 34,15,10.034,117.0,Album_34,4400,Front_34,ORANGE,WHITE,SOUTH_KOREA,94,1984-03-07,134,23.9,Loc_34
Band_35,ROCK,36,36,Desc 35,16,10.035,117.5,Album_35,4500,Front_35,WHITE,GREEN,NORTH_KOREA,95,1985-04-08,135,24.0,Loc_35
Band_36,BLUES,37,37,Desc 36,17,10.036,118.0,Album_36,4600,Front_36,GREEN,ORANGE,UNITED_KINGDOM,96,1986-05-09,136,24.1,Loc_36
Band_37,POP,38,38,Desc 37,18,10.037,118.5,Album_37,4700,Front_37,ORANGE,WHITE,FRANCE,97,1987-06-10,137,24.2,Loc_37
Band_38,POST_PUNK,39,39,Desc 38,19,10.038,119.0,Album_38,4800,Front_38,WHITE,GREEN,SOUTH_KOREA,98,1988-07-11,138,24.3,Loc_38
Band_39,PSYCHEDELIC_CLOUD_RAP,40,40,Desc 39,20,10.039,119.5,Album_39,4900,Front_39,GREEN,ORANGE,NORTH_KOREA,99,1989-08-12,139,24.4,Loc_39
Band_40,ROCK,41,41,Desc 40,1,10.04,120.0,Album_40,5000,Front_40,ORANGE,WHITE,UNITED_KINGDOM,60,1980-01-13,140,24.5,Loc_40
Band_41,BLUES,42,42,Desc 41,2,10.041,120.5,Album_41,5100,Front_41,WHITE,GREEN,FRANCE,61,1981-02-14,141,24.6,Loc_41
Band_42,POP,43,43,Desc 42,3,10.042,121.0,Album_42,5200,Front_42,GREEN,ORANGE,SOUTH_KOREA,62,1982-03-15,142,24.7,Loc_42
